barcode,length,width,height
31818964,32.0,20.0,2.0
31819022,14.0,12.0,4.5
31819046,32.0,20.0,0.2
31819145,62.0,10.0,2.0
31819152,29.5,14.0,0.1
31819275,15.0,12.0,1.5
31819367,23.0,23.0,2.0
31819374,5.5,5.5,5.0
31819381,17.0,16.5,1.7
31819398,38.0,20.0,0.5
31819862,23.0,20.0,8.5
31820691,24.0,10.0,1.5
31820745,15.0,10.0,2.0
31820752,13.5,10.0,1.0
31820875,22.5,22.5,2.0
31820882,7.0,7.0,8.0
31820899,22.0,22.0,2.5
31820905,7.5,7.5,13.5
31820929,7.5,7.5,13.0
31821544,17.5,15.0,2.0
31821650,22.5,22.0,1.5
31821940,63.0,33.0,7.0
31822251,23.0,12.0,1.5
31822473,17.0,16.5,1.4
31822886,12.5,12.0,1.5
31822930,15.0,10.0,1.0
31900805,21.5,12.0,10.5
31901946159,19.5,9.0,1.0
31901951887,8.7,1.5,18.3
31901951986,8.7,1.5,18.5
31902021,12.0,2.5,2.5
31903097,22.4,12.8,1.5
31907422,23.0,21.0,2.5
31913768,24.0,10.0,6.0
31914666,20.0,16.0,3.0
31916196,40.0,35.0,0.8
31916233,31.5,5.0,5.0
31916707,11.0,6.0,14.0
31917131,21.5,17.0,3.5
31917162,24.5,17.0,2.0
31917438,21.0,5.5,3.0
31917476,6.5,6.5,12.0
31917704,17.0,16.0,3.0
31917742,19.5,13.0,0.4
31917766,21.0,9.5,0.5
31918008,12.5,11.0,2.0
31918022,7.0,6.2,0.3
31918053,6.5,4.5,6.0
31918190,20.0,12.0,1.0
31918305,16.5,14.5,4.5
31918688,36.0,7.0,3.5
31918862,28.5,26.5,13.0
31918879,28.0,20.0,16.0
